conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,حل المشكلات التقنية,released,skill/competence,cross-sector,,تحديد المشكلات التقنية التي تظهر أثناء تشغيل الأجهزة واستخدام البيئات الرقمية وحلها (بدءًا من استكشاف المشكلات وإصلاحها وصولًا إلى حل المشكلات الأكثر تعقيدًا).,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,حل المشكلات باستخدام الأدوات الرقمية|حل المشكلات باستخدام الأدوات الرقمية | تعريف المشاكل | حل مشاكل الكمبيوتر
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,استخدام الخدمات الإلكترونية,released,skill/competence,cross-sector,,المشاركة في المجتمع عن طريق استخدام الخدمات الرقمية العامة والخاصة. التماس فرص تمكين الذات والمواطنة التشاركية عن طريق التكنولوجيات الرقمية المناسبة.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,التواصل والتعاون الرقمي|التواصل والتعاون الرقمي | استخدام الأدوات الرقمية للتعاون والإنتاجية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,استخدام بشكل خلاق التكنولوجيات الرقمية,released,skill/competence,cross-sector,,استخدام الوسائل والتكنولوجيات الرقمية لبناء المعرفة وابتكار العمليات والمنتجات. المشاركة بصفة فردية وجماعية في المعالجة المعرفية لفهم المشكلات المفاهيمية وأوضاع المشكلات في البيئات الرقمية وحلها.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,حل المشكلات باستخدام الأدوات الرقمية|حل المشكلات باستخدام الأدوات الرقمية | استخدام الأدوات الرقمية للتعاون والإنتاجية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,تحديد البيانات والمعلومات والمحتوى الرقمي,released,skill/competence,cross-sector,,تحليل مصداقية مصادر البيانات والمعلومات والمحتوى الرقمي وإمكانية التعويل عليها ومقارنة ذلك وتقييمه بدقة. تحليل البيانات والمعلومات والمحتوى الرقمي وتفسيرها وتقييمها بدقة.,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,معالجة البيانات الرقمية|معالجة البيانات الرقمية | تحليل المعلومات والبيانات وتقييمها
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,البرمجة الحاسوبية,released,knowledge,cross-sector,,تقنيات ومبادئ تطوير البرمجيات، مثل التحليل، والخوارزميات، والترميز، واختبار وتجميع نماذج البرمجة (على سبيل المثال، البرمجة كائنية التوجه، والبرمجة الوظيفية) ولغات البرمجة.,http://data.europa.eu/esco/isced-f/0613,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,تحديد الثغرات في الكفاءات الرقمية,released,skill/competence,cross-sector,,فهم نقاط الكفاءة الرقمية للفرد التي تحتاج إلى تحسين أو تحديث. امتلاك القدرة على تقديم الدعم للآخرين لتحسين الكفاءة الرقمية لديهم. السعي إلى إيجاد الفرص من أجل التنمية الذاتية ومواكبة التطور الرقمي.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,حل المشكلات باستخدام الأدوات الرقمية|حل المشكلات باستخدام الأدوات الرقمية | الرصد والمعاينة والاختبار
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,التعاون من خلال التقنيات الرقمية,released,skill/competence,cross-sector,,استخدام الأدوات والتقنيات الرقمية للعمليات التعاونية والبناء المشترك والابتكار المشترك للموارد والمعارف.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,التواصل والتعاون الرقمي|التواصل والتعاون الرقمي | استخدام الأدوات الرقمية للتعاون والإنتاجية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,حماية البيانات الشخصية والخصوصية,released,skill/competence,cross-sector,,"حماية البيانات الشخصية والخصوصية في البيئات الرقمية. فهم كيفية استخدام المعلومات التي تحدد الهوية الشخصية ومشاركتها والقدرة في نفس الوقت على حماية نفسه والغير من الضرر. فهم أن الخدمات الرقمية تستخدم ""سياسة خصوصية"" لتحديد كيفية استخدام البيانات الشخصية.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,سلامة تكنولوجيا المعلومات والاتصالات|سلامة تكنولوجيا المعلومات والاتصالات | حماية الخصوصية والبيانات الشخصية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,المشاركة من خلال التقنيات الرقمية,released,skill/competence,cross-sector,,مشاركة البيانات، والمعلومات، والمحتوي الرقمي مع الآخرين من خلال التقنيات الرقمية المُناسبة. التصرف كوسيط، والعلم بشأن الممارسات المرجعية والإسناد.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,التواصل والتعاون الرقمي|التواصل والتعاون الرقمي | استخدام الأدوات الرقمية للتعاون والإنتاجية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,سلامة تكنولوجيا المعلومات والاتصالات|سلامة تكنولوجيا المعلومات والاتصالات,released,,,,الحماية الشخصية وحماية البيانات وحماية الهوية الرقمية والتدابير الأمنية والاستخدام الآمن والمستدام.,http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,حماية أجهزة تكنولوجيا المعلومات والاتصالات
