conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,لغة برمجة هاسكل,released,knowledge,sector-specific,,تقنيات ومبادئ تطوير البرامج، مثل التحليل والخوارزميات والترميز واختبار وجمع نماذج البرمجة في هاسكل.,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,التطوير التدريجي,released,knowledge,sector-specific,,نموذج التطوير التدريجي هو منهجية لتصميم أنظمة وتطبيقات البرمجيات.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,البرمجة الحاسوبية KDevelopment هي مجموعة من أدوات تطوير البرامج لكتابة البرامج، مثل: المحول البرمجي، ومصحح الأخطاء، ومحرر الأكواد، وإبراز الأكواد، مُجمّعة في واجهة مستخدم موحدة. ويتم تطويره بواسطة مجتمع البرامج KDE.,http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,نظام التعلم Absorb,released,knowledge,sector-specific,,نظام التعلم Absorb هو منصة للتعلم الإلكتروني لإنشاء دورات تعليمية للتعليم الإلكتروني أو برامج التدريب لطلاب المرحلة الثانوية وإدارتها وتقديمها.,http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,تطوير بنى مبتكرة لسلسلة الكتل,released,skill/competence,cross-sector,,"تطوير بنى جديدة لسلسلة الكتل تتناول الخصائص والأولويات حسب الحاجة باستخدام تطبيقات محددة.  وتجري المناقشة في مزايا وأوجه قصور هذه البنى الجديدة في إطار تلك البنى القائمة.
	",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,تصميم أنظمة أو تطبيقات تكنولوجيا المعلومات والاتصالات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,هندسة الشبكات,released,knowledge,sector-specific,,"المجال الفرعي لتكنولوجيا الكمبيوتر الذي يتعلق بإدارة اتصال الشبكات من خلال البيانات والصوت والمكالمات وخدمات الشبكات اللاسلكية.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,ترحيل البيانات الحالية,released,skill/competence,sector-specific,,تطبيق وسائل الترحيل والتحويل للبيانات الحالية لنقل البيانات أو تحويلها بين التنسيقات أو وحدات التخزين أو النظم الحاسوبية.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,إدارة، وجمع البيانات الرقمية وتخزينها
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,تحديد هيكل قواعد البيانات,released,skill/competence,sector-specific,,تحديد التكوين المادي لملفات قواعد البيانات على وسيط محدد. ويتكون ذلك من المواصفات التفصيلية لخيارات الفهرسة وأنواع البيانات وعناصرها الموجودة في قاموس البيانات.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,إدارة، وجمع البيانات الرقمية وتخزينها
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,منصة Maltego,released,knowledge,sector-specific,,منصة Maltego هي تطبيق جمع معلومات يستخدم استخراج البيانات لتحقيق نظرة عامة على بيئة المؤسسات، واختبار نقاط الضعف الأمنية في النظام من أجل كشف الوصول المحتمل غير المصرح به، كما يوضح تعقيد أعطال البنية التحتية.,http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,تشغيل معدات الراديو,released,skill/competence,cross-sector,,تجهيز وتشغيل أجهزة الراديو والملحقات الخاصة بها، مثل لوحات مفاتيح البث والمضخمات والمكبرات. فهم أساسيات لغة مشغل الراديو وتقديم التعليمات عند اللزوم بشأن معالجة معدات الراديو بطريقة صحيحة.,http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,تنسيق الاتصالات عن بعد | تشغيل معدات الاتصالات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,تقنيات ومبادئ تطوير البرامج، مثل التحليل والخوارزميات والترميز واختبار وجمع نماذج البرمجة في Erlang.,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,إدارة  عملية تصنيف بيانات تكنولوجيا المعلومات والاتصالات,released,skill/competence,sector-specific,,الإشراف على نظام التصنيف الذي تستخدمه المنظمة لتنظيم بياناتها. تخصيص مالكًا لكل مفهوم بيانات أو مجموعة مفاهيم وتحديد القيمة لكل عنصر من عناصر البيانات.,http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956 | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,الإشراف على هيكل بيانات تكنولوجيا المعلومات والاتصالات | إدارة، وجمع البيانات الرقمية وتخزينها
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,هيكل المعلومات,released,knowledge,sector-specific,,نوع البنية التحتية التي تحدد تنسيق البيانات: شبه منظمة وغير منظمة ومنظمة.,http://data.europa.eu/esco/isced-f/0612,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,إدارة شبكات تكنولوجيا المعلومات والاتصالات المؤقتة للأداء المباشر,released,skill/competence,occupation-specific,,"إدارة تهيئة الشبكات لتوزيع إشارات التحكم لأغراض الأداء الفني والحفلات. التنسيق مع مختلف المستخدمين. تحديد وإعداد المعدات، الكابلات، التوصيلات والأجهزة. ضبط، اختبار ومراقبة المعدات وأداء الشبكة. مراقبة الإشارات تشمل مثلا DMX، RDM، MIDI، رمز الوقت، بيانات التعقب، وضبط الموضع، وأيضا الصوت والصورة وإشارات الوضعية.
   ",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,إنشاء أنظمة الكمبيوتر
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,مواكبة التحول الرقمي للعمليات الصناعية,released,skill/competence,sector-specific,,مواكبة التجديدات الرقمية القابلة للتطبيق على العمليات الصناعية. دمج هذه التحولات في عمليات الشركة سعيًا إلى نماذج أعمال تنافسية ومربحة.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,رصد التطوّرات في مجال الاختصاص
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,إعداد المعدات المكتبية,released,skill/competence,occupation-specific,,توصيل المعدات المكتبية، مثل أجهزة الموديم والماسحات الضوئية والطابعات، بشبكة الكهرباء وتنفيذ الربط الكهربائي لتجنُّب فرق الجهد الخَطِر. اختبار التركيب لضمان التشغيل السليم. مراقبة الإعدادات وتجهيز الجهاز للاستخدام.,http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,أداء المهام الكتابية والإدارية العامة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,لغة ساس للبرمجة,released,knowledge,sector-specific,,تقنيات ومبادئ تطوير البرامج، مثل التحليل والخوارزميات والترميز والاختبار وجمع نماذج البرمجة بلغة ساس للبرمجة.,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a | http://data.europa.eu/esco/isced-f/0613,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,استخدام واجهة خاصة بالتطبيق,released,skill/competence,sector-specific,,فهم الواجهات الخاصة بتطبيق أو حالة استخدام ويستخدمها.,http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,العمل باستخدام أجهزة الكمبيوتر
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,تصميم الأنظمة الكهربائية,released,skill/competence,cross-sector,,رسم المخططات وتصميم النظم والمنتجات والمكونات الكهربائية باستخدام برمجيات ومعدات التصميم بمساعدة الحاسوب (CAD). رسم مخططات تنظيم اللوحات ومخططات الدوائر الكهربائية ومخططات الأسلاك الكهربائية وغيرها من تفاصيل التجميع.,http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,تصميم الأنظمة أو المعدات الكهربائية أو الإلكترونية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,تحديد قواعد جدار الحماية,released,skill/competence,sector-specific,,تحديد القواعد التي تنظم مجموعة من المكونات التي تهدف لتقييد الوصول بين مجموعات الشبكات أو بين الشبكة المحددة والإنترنت.,http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,حماية أجهزة تكنولوجيا المعلومات والاتصالات
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,إدارة أنظمة التسجيل بالمستودعات,released,skill/competence,sector-specific,,تشغيل أنظمة تسجيل المنتج والتعبئة وطلب المعلومات بصيغ وأنواع تسجيل محددة.,http://data.europa.eu/esco/skill/7afb5a64-e574-421a-bb3a-7a7bc108d2a5 | http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,القيام بعمليات التخزين | الاحتفاظ بالسجلات التشغيلية
