conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,تدريب العاملين على تقليل مخلفات الطعام,released,skill/competence,sector-specific,,"وضع تمارين جديدة وأحكام تطوير العاملين لدعم معلوماتهم حول تفادي إنتاج بقايا الطعام وممارسات إعادة تدوير المأكولات. والتأكد من أن العاملين فهموا الأساليب والأدوات التي تسمح بإعادة التدوير مثل فرز المخلفات.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,التدريب على الإجراءات التشغيلية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,صياغة مفاهيم توفير الطاقة,released,skill/competence,cross-sector,,استخدام نتائج البحوث الحالية والتعاون مع الخبراء لتحسين أو تطوير المفاهيم والمعدات وعمليات الإنتاج التي تتطلب كمية أقل من الطاقة، مثل ممارسات ومواد العزل الجديدة.,http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,التفكير على نحو مبتكر | تطوير السياسات والإجراءات التشغيلية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,تركيب مضخة حرارية,released,skill/competence,cross-sector,,تركيب المضخات الحرارية التي تستخدم الخواص الفيزيائية للمواد المعروفة باسم المبردات لسحب الطاقة من بيئة معينة وتحريرها في بيئة أدفأ على العكس من التدفق الحراري الطبيعي. إنشاء الفتحات الضرورية وتركيب القطع الداخلية والخارجية للمضخة الحرارية. توصيل الكهرباء وأي قنوات وتكوين المضخة الحرارية.,http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,تركيب معدات التدفئة والتهوية وتكييف الهواء
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,تصميم تركيبات الكتلة الأحيائية,released,skill/competence,sector-specific,,"تصميم نظام طاقة الكتلة الأحيائية. تحديد بناء الحدود على النحو اللازم من حيث المساحة والوزن. حساب المؤشرات مثل السعة، الدفق ودرجات الحرارة. إعداد وصفا تفصيلياً ورسوم التصميم.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,تصميم الأنظمة أو المعدات الكهربائية أو الإلكترونية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,صيانة معدات الفرز,released,skill/competence,sector-specific,,إجراء الصيانة الدورية والتصليحات البسيطة للمعدات المستخدمة لفرز النفايات والمواد المعاد تدويرها.,http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,إجراء صيانة للمعدات | تركيب الأجزاء الخشبية والمعدنية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,تبني سبل تعزيز التنوع الأحيائي وراحة الحيوان,released,skill/competence,transversal,,"تبني سلوكيات تساعد على المحافظة على أنظمة إيكولوجية مستقرة ومكافحة الانقراض الجماعي، مثلا من خلال الاختيارات الغذائية الواعية التي تدعم إنتاج الأغذية الطبيعية وراحة الحيوان.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,تطبيق المهارات والخبرات الخاصة بالبيئة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,إجراء دراسة جدوى لأنظمة إدارة المباني,released,skill/competence,sector-specific,,"تنفيذ عمليات تقدير وتقييم إمكانيات نظام إدارة المبنى. تحقيق دراسة قياسية لتحديد المساهمة في اقتصاد الطاقة، والتكاليف والقيود، وإجراء البحث لدعم عملية صنع القرار.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,تنفيذ دراسة الجدوى | تحليل العمليات التجارية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,لوائح التعرض للتلوث,released,knowledge,cross-sector,,اللوائح المتعلقة بالتعرض للمواد الملوثة أو البيئة الخطرة التي تنظم الإجراءات المحيطة بتقييم المخاطر، والحد من التعرض الإضافي، والحجر الصحي، وعلاج الأشخاص المعرضين للخطر.,http://data.europa.eu/esco/isced-f/1021,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,إزالة المواد الملوثة,released,skill/competence,sector-specific,,إزالة المواد والمعدات الملوثة بالمواد الخطيرة لحماية البيئة المحيطة من المزيد من التلوث ولعلاج المواد الملوثة أو التخلص منها.,http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,تقييم التلوث | مناولة المواد الخطرة والتخلص منها
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,إنقاذ الحيوانات,released,skill/competence,sector-specific,,إنقاذ الحيوانات التي تواجه مواقف تمثِّل تهديدًا حاليًّا أو مُحتمَلًا على حياتها.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,الحفاظ على الأمن المادي وإنفاذه
