conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2654,المدير الفني / المديرة الفنية,,,released,2024-01-25T11:28:50.295Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يدرك المديرون الفنيون الرؤى الفنية للمبتكرين ضمن القيود الفنية. وينسقون عمليات وحدات الإنتاج المختلفة مثل المشهد وخزانة الملابس والصوت والإضاءة والمكياج. وهم يقومون بتعديل النموذج الأولي ودراسة الجدوى والتنفيذ والتشغيل والمراقبة الفنية للمشروع الفني. كما أنهم مسؤولون عن معدات خشبة المسرح والمعدات الفنية.,2654.1.7,http://data.europa.eu/ux2/nace2.1/9031
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,مشغل آلة تشكيل المعادن / مشغلة آلة تشكيل المعادن,,,released,2024-01-23T10:09:32.099Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقوم مشغلو آلات تشكيل المعادن بإعداد وتشغيل ماكينات التشكيل للمنتجات المعدنية الحديدية وغير الحديدية، والمصممة لتوفير أسلاك وقضبان ومواسير وأشكال خاصة مجوفة وأنابيب بشكلها المحدد من خلال تقليل المقطع العرضي عن طريق سحب مواد العمل عبر سلسلة من قوالب التشكيل.,8121.4,http://data.europa.eu/ux2/nace2.1/242
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,مفتش أجهزة الدقة / مفتشة أجهزة الدقة,,,released,2024-01-25T15:00:12.188Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يتأكد مفتشو أجهزة الدقة من أن أجهزة الدقة مثل الميكرومتر والمقاييس تعمل وفقًا لمواصفات التصميم. حيث يقومون بضبط أجهزة الدقة ومكوناتها في حالة حدوث أي أعطال.,7543.10.3,http://data.europa.eu/ux2/nace2.1/2651
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,فني سلامة الحركة الجوية,,,released,2024-01-29T16:01:13.998Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يوفر فنيو سلامة الحركة الجوية الدعم الفني فيما يتعلق بسلامة أنظمة حركة المرور الجوية وأنظمة الملاحة. حيث يقومون بتصميم هذه الأنظمة وصيانتها وتركيبها وتشغيلها في المطارات وعلى متن الطائرة وفقًا للوائح.,3155.1,http://data.europa.eu/ux2/nace2.1/5223
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,مدير إيرادات الضيافة / مديرة إيرادات الضيافة,,,released,2024-01-11T10:28:45.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يعمل مديرو إيرادات الضيافة على تعظيم الإيرادات الناتجة عن المرافق مثل الفنادق والمنتجعات السياحية وأراضي التخييم من خلال تحليل الاتجاهات والمنافسة. إذ يقدمون المساعدة إلى مديري المنشأة في اتخاذ القرارات الاستراتيجية. ويقوم مديرو إيرادات الضيافة بتحليل وتحسين القدرات المالية للمرافق وإدارة الموظفين المناظرين.,2431.9,"http://data.europa.eu/ux2/nace2.1/701,
http://data.europa.eu/ux2/nace2.1/55"
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,مساعد مختبر طبي / مساعدة مختبر طبي,,,released,2024-01-24T15:38:45.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يعمل مساعدو المختبرات الطبية تحت إشراف عالم الطب الحيوي ويُنفِّذون الإجراءات المعملية الأساسية. وهم يعملون في معالجة قبل التحليل للعينات مثل التحقق من تفاصيل العينات المستلمة للتحليل، وصيانة أجهزة التحليل، وتحميل الكواشف، وعينات التعبئة. كما يقومون بأداء مهام كتابية مثل مراقبة مستويات المخزون للمواد الكاشفة المستخدمة في التحليل.,3212.2,http://data.europa.eu/ux2/nace2.1/861
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,فني مختبر الأسفلت,,,released,2024-01-26T15:03:25.743Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقوم فنيو مختبرات الأسفلت بإجراء عمليات فحص للأسفلت والمواد الخام والاختبارات المعملية ذات الصلة، مما يضمن جودة عالية للمنتجات. كما أنهم يشاركون في التوصل إلى حلول للمشكلات التقنية في مواقع الإنشاءات.,3116.1.1,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/2399"
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,مساعد تدريس مدرسة ابتدائية / مساعدة تدريس مدرسة ابتدائية,,,released,2023-07-04T08:19:38.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقدم مساعدو تدريس مدرسة ابتدائية الدعم التعليمي والعملي لمدرسي المدارس الابتدائية. فهم يُعزّزون التدريس مع الطلاب الذين هم في حاجة إلى مزيد من الاهتمام ويُحضّرون المواد التي يحتاجها المعلم في الصف. كما أنهم يقومون بعمل مكتبي، ويرصدون تقدم تعلم الطلاب وسلوكياتهم ويشرفون على الطلاب في وجود المدرس الرئيسي أو في غيابه.,5312.2,http://data.europa.eu/ux2/nace2.1/852
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,أخصائي علاج طبيعي / أخصائية علاج طبيعي,,,released,2024-01-16T10:48:48.922Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",أخصائيو العلاج الطبيعي هم أخصائيو صحة مستقلون مسؤولون عن تنمية الوظائف الحركية والحركة أو الحفاظ عليها أو استعادتها طوال فترة الحياة باستخدام الممارسة القائمة على الأدلة. فهم يعملون على تخفيف الألم وعلاج الحالات الجسدية المرتبطة بالإصابة أو المرض أو غيرها من حالات الضعف أو الوقاية منها. ويعمل أخصائيو العلاج الطبيعي على تمكين المرضى ومقدمي الرعاية من التعامل مع الحالة خارج الأماكن السريرية. ويعملون ضمن نطاق ممارساتهم ومدونة قواعد السلوك المهني الخاصة بهم. ,2264.2,http://data.europa.eu/ux2/nace2.1/8695
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,المدرب المسرحي للفنون التمثيلية / المدربة المسرحية للفنون التمثيلية,,,released,2024-01-16T13:49:12.7Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يتولى المدربون المسرحيون للفنون التمثيلية تعليم الطلاب في نظرية محددة، وفي المقام الأول، دورات المسرح القائم على الممارسة في مسرح متخصص، أو التمثيل أو مدرسة أو معهد موسيقي على مستوى تعليمي أعلى. وهم يُقدِّمون التعليم النظري لخدمات المهارات والتقنيات العملية التي يجب أن يُتقنها الطلاب بعدها في المسرح. يتولى المدربون المسرحيون للفنون التمثيلية مراقبة تقدم الطلاب وتقديم المساعدة على المستوى الفردي عند الضرورة وتقييم معرفتهم وأداء التدريب على المسرح من خلال المهام والاختبارات والفحوصات.,2310.1.30,"http://data.europa.eu/ux2/nace2.1/854,
http://data.europa.eu/ux2/nace2.1/853"
