conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/00,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,00
SkillGroup,http://data.europa.eu/esco/isced-f/000,,,,released,2023-07-13T15:16:44.968Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,000
SkillGroup,http://data.europa.eu/esco/isced-f/0000,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0000
SkillGroup,http://data.europa.eu/esco/isced-f/001,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,001
SkillGroup,http://data.europa.eu/esco/isced-f/0011,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0011
SkillGroup,http://data.europa.eu/esco/isced-f/002,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,002
SkillGroup,http://data.europa.eu/esco/isced-f/0021,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0021
SkillGroup,http://data.europa.eu/esco/isced-f/003,,,,released,2023-07-04T13:43:35.384Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,003
SkillGroup,http://data.europa.eu/esco/isced-f/0031,,,,released,2024-07-03T13:25:01.639Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0031
SkillGroup,http://data.europa.eu/esco/isced-f/009,,,,released,2023-10-30T10:21:59.843Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,009
SkillGroup,http://data.europa.eu/esco/isced-f/0099,,,,released,2023-10-30T10:06:51.66Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0099
SkillGroup,http://data.europa.eu/esco/isced-f/01,,,,released,2022-01-13T14:57:09.082Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,01
SkillGroup,http://data.europa.eu/esco/isced-f/011,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,011
SkillGroup,http://data.europa.eu/esco/isced-f/0110,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0110
SkillGroup,http://data.europa.eu/esco/isced-f/0111,,,,released,2023-07-04T13:29:46.06Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0111
SkillGroup,http://data.europa.eu/esco/isced-f/0112,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0112
SkillGroup,http://data.europa.eu/esco/isced-f/0113,,,,released,2023-07-04T10:20:46.297Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0113
SkillGroup,http://data.europa.eu/esco/isced-f/0114,,,,released,2023-10-30T10:21:08.01Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0114
SkillGroup,http://data.europa.eu/esco/isced-f/0119,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0119
SkillGroup,http://data.europa.eu/esco/isced-f/018,,,,released,2022-01-13T14:49:36.928Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,018
SkillGroup,http://data.europa.eu/esco/isced-f/0188,,,,released,2022-01-13T14:56:35.789Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0188
SkillGroup,http://data.europa.eu/esco/isced-f/02,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,02
SkillGroup,http://data.europa.eu/esco/isced-f/020,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,020
SkillGroup,http://data.europa.eu/esco/isced-f/0200,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0200
SkillGroup,http://data.europa.eu/esco/isced-f/021,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,021
SkillGroup,http://data.europa.eu/esco/isced-f/0210,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0210
SkillGroup,http://data.europa.eu/esco/isced-f/0211,,,,released,2023-07-11T10:40:32.985Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0211
SkillGroup,http://data.europa.eu/esco/isced-f/0212,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0212
SkillGroup,http://data.europa.eu/esco/isced-f/0213,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0213
SkillGroup,http://data.europa.eu/esco/isced-f/0214,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0214
SkillGroup,http://data.europa.eu/esco/isced-f/0215,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0215
SkillGroup,http://data.europa.eu/esco/isced-f/0219,,,,released,2023-07-03T12:59:23.746Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0219
SkillGroup,http://data.europa.eu/esco/isced-f/022,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,022
SkillGroup,http://data.europa.eu/esco/isced-f/0220,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0220
SkillGroup,http://data.europa.eu/esco/isced-f/0221,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0221
SkillGroup,http://data.europa.eu/esco/isced-f/0222,,,,released,2023-10-27T15:38:51.741Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0222
SkillGroup,http://data.europa.eu/esco/isced-f/0223,,,,released,2023-07-03T08:51:02.496Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0223
SkillGroup,http://data.europa.eu/esco/isced-f/0228,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0228
SkillGroup,http://data.europa.eu/esco/isced-f/0229,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0229
SkillGroup,http://data.europa.eu/esco/isced-f/023,,,,released,2023-07-14T08:12:16.726Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,023
SkillGroup,http://data.europa.eu/esco/isced-f/0230,,,,released,2023-10-31T16:01:49.771Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0230
SkillGroup,http://data.europa.eu/esco/isced-f/0231,,,,released,2024-02-15T09:52:45.02Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0231
SkillGroup,http://data.europa.eu/esco/isced-f/0232,,,,released,2023-10-27T15:35:14.724Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0232
SkillGroup,http://data.europa.eu/esco/isced-f/0239,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0239
SkillGroup,http://data.europa.eu/esco/isced-f/028,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,028
SkillGroup,http://data.europa.eu/esco/isced-f/0288,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0288
SkillGroup,http://data.europa.eu/esco/isced-f/029,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,029
SkillGroup,http://data.europa.eu/esco/isced-f/0299,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0299
SkillGroup,http://data.europa.eu/esco/isced-f/03,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,03
SkillGroup,http://data.europa.eu/esco/isced-f/030,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,030
SkillGroup,http://data.europa.eu/esco/isced-f/0300,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0300
SkillGroup,http://data.europa.eu/esco/isced-f/031,,,,released,2023-06-30T10:03:57.744Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,031
SkillGroup,http://data.europa.eu/esco/isced-f/0310,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0310
SkillGroup,http://data.europa.eu/esco/isced-f/0311,,,,released,2023-07-03T12:57:32.51Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0311
SkillGroup,http://data.europa.eu/esco/isced-f/0312,,,,released,2024-01-29T16:20:43.56Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0312
SkillGroup,http://data.europa.eu/esco/isced-f/0313,,,,released,2023-07-03T12:46:46.382Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0313
SkillGroup,http://data.europa.eu/esco/isced-f/0314,,,,released,2023-07-04T12:56:24.33Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0314
SkillGroup,http://data.europa.eu/esco/isced-f/0319,,,,released,2025-02-19T14:42:49.746Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0319
SkillGroup,http://data.europa.eu/esco/isced-f/032,,,,released,2023-07-03T07:24:08.118Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,032
SkillGroup,http://data.europa.eu/esco/isced-f/0320,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0320
SkillGroup,http://data.europa.eu/esco/isced-f/0321,,,,released,2023-07-03T07:23:44.668Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0321
SkillGroup,http://data.europa.eu/esco/isced-f/0322,,,,released,2023-10-27T15:38:41.87Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0322
SkillGroup,http://data.europa.eu/esco/isced-f/0329,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0329
SkillGroup,http://data.europa.eu/esco/isced-f/038,,,,released,2023-06-29T13:50:39.809Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,038
SkillGroup,http://data.europa.eu/esco/isced-f/0388,,,,released,2023-07-04T08:43:11.281Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0388
SkillGroup,http://data.europa.eu/esco/isced-f/039,,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,039
