conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,التعبير عن المبادرة,released,,"التفاعل واتخاذ الخطوة الأولى نحو العمل بدون انتظار الآخرين وما يقولوه أو يعملوه.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,اتباع مقترب استباقي
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,تبني سبل تعزيز التنوع الأحيائي وراحة الحيوان,released,,"تبني سلوكيات تساعد على المحافظة على أنظمة إيكولوجية مستقرة ومكافحة الانقراض الجماعي، مثلا من خلال الاختيارات الغذائية الواعية التي تدعم إنتاج الأغذية الطبيعية وراحة الحيوان.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,تطبيق المهارات والخبرات الخاصة بالبيئة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,نصح الآخرين,released,,"تقديم المقترحات بشأن أفضل طريقة عمل.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,دعم الآخرين
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,قبول النقد والتوجيه,released,,"التعامل مع تعليقات الآخرين السلبية والتصرف بعقلية متفتحة إزاء النقد، ومحاولة التعرف على ما قد يشمله من أوجه التحسين.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,التعبير عن إرادة التعلم
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,تطبيق معرفة الفلسفة والأخلاقيات والدين,released,,"اكتشاف وتنمية رؤية شخصية حول دور كل فرد، ومعناه وهدفه، بما في ذلك معنى الحياة، والموت والإنسانية.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,تطبيق المعارف العامة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,تبني سبل تقليل التلوث,released,,"تطبيق التدابير التي تهدف إلى تقليل تلوث الهواء، الضوضاء، الماء أو البيئة، مثلا من خلال استعمال وسائل النقل العامة، عدم ترك أية مخلفات في الطبيعة، تقليل الإنارة غير اللازمة وانبعاثات الضوضاء وخاصة أثناء الليل.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,تطبيق المهارات والخبرات الخاصة بالبيئة
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,الوفاء بالالتزامات المنوطة به,released,,تنفيذ مهام الفرد بطريقة منضبطة ذاتيًّا وموثوقة وموجهة نحو الهدف.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,العمل الفعال
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,التكيف مع المتطلبات البدنية,released,,"التعبير عن القدرة على تحمل الضغوط البدنية الفائقة في العمل أو الرياضة. ويشمل ذلك، مواقف الركوع، الوقوف، أو الركض لمدة طويلة أو العمل تحت ظروف مناخية قاسية مثل الحرارة العالية أو البرد القارس أو تحت المطر.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,الاستجابة للظروف البدنية
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,تحمل المسؤولية,released,,"أن تقبل كمهني المسؤولية والمحاسبة بشأن القرارات والأعمال التي تقوم بها شخصيا أو التي عهدت بها للآخرين.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,اتباع مقترب استباقي
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,التعبير عن العزيمة,released,,"الالتزام بفعل شيء صعب ويتطلب العمل الجاد. بذل جهدًا كبيرًا بدافع الاهتمام أو الاستمتاع بالعمل نفسه، وهذا في غياب الضغوط الخارجية.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,اتباع مقترب استباقي
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,skill/competence,transversal,تنفيذ الحسابات,released,,"حل المسائل الرياضية لتحقيق الأهداف المتعلقة بالعمل.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,العمل مع الأرقام والمقاييس
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,skill/competence,transversal,التحكم في شعور الإحباط,released,,البقاء هادئًا والتفاعل بطريقة بناءة مع غضبه أو غضب الغير أو عندما يواجه عقبات أو شكاوي.,http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,تبني موقف إيجابي باستمرار
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32,skill/competence,transversal,حساب الاحتمالات,released,,"التوقع باحتمال نتيجة ما على أساس الحسابات أو التجربة.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,العمل مع الأرقام والمقاييس
